ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Data Modeling,2,FOUND
2,World Models,,FOUND
3,Knowledge Representation,,FOUND
4,RDBMS,1|14,FOUND
5,OLAP,4,FOUND
6,OLTP,4,FOUND
7,NoSQL Databases,4|1,FOUND
8,Key-Value Stores,7,FOUND
9,Document Databases,7,FOUND
10,Wide-Column Stores,7,FOUND
11,Graph Databases,7|18,FOUND
12,CAP Theorem,7,FOUND
13,Tradeoff Analysis,12,FOUND
14,Schema Design,,FOUND
15,Hash Maps,,FOUND
16,Trees,,FOUND
17,Arrays,,FOUND
18,Data Structures,15|16|17,FOUND
19,Relational Model,4,FOUND
20,Normalization,19,FOUND
21,Labeled Property Graph,11|22|23|24|25,GRAPH
22,Nodes,11,GRAPH
23,Edges,11|22,GRAPH
24,Properties,22|23,GRAPH
25,Labels,22,GRAPH
26,Schema-Optional Modeling,14|21,GRAPH
27,Schema-Enforced Modeling,14|21,GRAPH
28,Index-Free Adjacency,23|29,GRAPH
29,Traversal,23|22,GRAPH
30,Graph Query,21|29,GRAPH
31,Pattern Matching,30,GRAPH
32,Multi-Hop Queries,29|30,GRAPH
33,Aggregation,30,GRAPH
34,Path Patterns,29|31,GRAPH
35,Constant-Time Neighbor Access,28,GRAPH
36,First-Class Relationships,23|21,GRAPH
37,Edge Direction,23,GRAPH
38,Graph Data Model,21,GRAPH
39,Graph Schema,38|14,GRAPH
40,Metadata Representation,24,GRAPH
41,Open World Model,26,FOUND
42,Closed World Model,27,FOUND
43,Graph Validation,39,GRAPH
44,Document Validation,9,GRAPH
45,Rule Systems,43,GRAPH
46,OpenCypher,30|21,QUERY
47,GSQL,30|21,QUERY
48,Statistical Query Tuning,64|65,QUERY
49,GQL,30|21,QUERY
50,Cypher Syntax,46,QUERY
51,Match Clause,50,QUERY
52,Where Clause,50,QUERY
53,Return Clause,50,QUERY
54,Create Statement,50,QUERY
55,Merge Statement,50|54,QUERY
56,Delete Statement,50,QUERY
57,Set Clause,50,QUERY
58,Graph Patterns,31|50,QUERY
59,Variable Length Paths,34|51,QUERY
60,Shortest Path,59,QUERY
61,All Paths,34|51,QUERY
62,Map-Reduce Pattern,47,QUERY
63,Accumulators,47|62,QUERY
64,Query Optimization,30,QUERY
65,Query Performance,64,QUERY
66,Query Latency,65,QUERY
67,Query Throughput,65,QUERY
68,Declarative Queries,46|49,QUERY
69,Imperative Queries,47,QUERY
70,Query Plans,64,QUERY
71,Hop Count,32|29,PERF
72,Degree of Node,22|23,GRAPH
73,Indegree,72|37,PERF
74,Outdegree,72|37,PERF
75,Edge-to-Node Ratio,22|23,GRAPH
76,Graph Indexes,39,PERF
77,Vector Indexes,76,PERF
78,Full-Text Search,76,PERF
79,Composite Indexes,76,PERF
80,Graph Metrics,72|71,PERF
81,Performance Benchmarking,65,PERF
82,Synthetic Benchmarks,81,PERF
83,Single-Node Benchmarks,81,GRAPH
84,Multi-Node Benchmarks,81|191,GRAPH
85,LDBC SNB Benchmark,82,PERF
86,Graph 500,82,PERF
87,Query Cost Analysis,65|70,PERF
88,Join Operations,4|19,PERF
89,Traversal Cost,29|87,GRAPH
90,Scalability,81|191,PERF
91,Breadth-First Search,29,ALGO
92,Depth-First Search,29,ALGO
93,A-Star Algorithm,94,ALGO
94,Pathfinding,60|91,ALGO
95,Traveling Salesman Problem,94,ALGO
96,PageRank,98,ALGO
97,Community Detection,108,ALGO
98,Centrality Measures,72,ALGO
